sell,buy,installment,tgl
1021553,996014,1021553,2023-07-23
1021553,996014,1021553,2023-07-22
1021862,996315,1021862,2023-07-21
1024889,999266,1024889,2023-07-20
1016944,991520,1016944,2023-07-19
1016925,991501,1016925,2023-07-18
1017817,992371,1017817,2023-07-17
1024490,998877,1024490,2023-07-16
1024490,998877,1024490,2023-07-15
1024769,999149,1024769,2023-07-14
1026761,1001091,1026761,2023-07-13
1018414,992953,1018414,2023-07-12
1011459,986172,1011459,2023-07-11
1009027,983801,1009027,2023-07-10
1001329,976295,1001329,2023-07-09
1001329,976295,1001329,2023-07-08
1000996,975971,1000996,2023-07-07
1003917,978819,1003917,2023-07-06
1007936,982737,1007936,2023-07-05
1004924,979800,1004924,2023-07-04
1004935,979811,1004935,2023-07-03
1004215,979109,1004215,2023-07-02
1004215,979109,1004215,2023-07-01
1003873,978776,1003873,2023-06-30
1003831,978735,1003831,2023-06-29
1003832,978736,1003832,2023-06-28
1003851,978754,1003851,2023-06-27
998409,973448,998409,2023-06-26
999240,974259,999240,2023-06-25
999240,974259,999240,2023-06-24
998970,973995,998970,2023-06-23
1005309,980176,1005309,2023-06-22
1005321,980187,1005321,2023-06-21
1008369,983159,1008369,2023-06-20
1010451,985189,1010451,2023-06-19
1011342,986058,1011342,2023-06-17
1011050,985773,1011050,2023-06-16
1002999,977924,1002999,2023-06-15
1003992,978892,1003992,2023-06-14
1009941,984692,1009941,2023-06-13
1011956,986657,1011956,2023-06-12
1012298,986990,1012298,2023-06-11
1012298,986990,1012298,2023-06-10
1011979,986679,1011979,2023-06-09
1003028,977952,1003028,2023-06-08
1010986,985711,1010986,2023-06-07
1015128,989749,1015128,2023-06-06
1008130,982926,1008130,2023-06-05
1005449,980312,1005449,2023-06-04
1005449,980312,1005449,2023-06-03
1005126,979997,1005126,2023-06-02
1005480,980343,1005480,2023-06-01
1005205,980074,1005205,2023-05-31
999211,974230,999211,2023-05-30
998208,973252,998208,2023-05-29
994541,969677,994541,2023-05-27
994228,969372,994228,2023-05-26
999204,974223,999204,2023-05-25
1006149,980995,1006149,2023-05-24
1006124,980970,1006124,2023-05-23
1006130,980976,1006130,2023-05-22
998527,973563,998527,2023-05-20
998241,973284,998241,2023-05-19
1008995,983770,1008995,2023-05-18
1006114,980961,1006114,2023-05-17
1012201,986895,1012201,2023-05-16
1012249,986942,1012249,2023-05-15
1015573,990183,1015573,2023-05-13
1015252,989870,1015252,2023-05-12
1023809,998213,1023809,2023-05-11
1023764,998169,1023764,2023-05-10
1014781,989411,1014781,2023-05-09
1012206,986900,1012206,2023-05-08
1027619,1001928,1027619,2023-05-06
1027308,1001625,1027308,2023-05-05
1027280,1001598,1027280,2023-05-04
